# Required | A unique content ID for the item. Use the item's SKU if you can. Each content ID must appear only once in your catalog. To run dynamic ads this ID must exactly match the content ID for the same item in your Meta Pixel code. Character limit: 100,# Required | A specific and relevant title for the item. See title specifications: https://www.facebook.com/business/help/2104231189874655 Character limit: 200,# Required | A short and relevant description of the item. Include specific or unique product features like material or color. Use plain text and don't enter text in all capital letters. See description specifications: https://www.facebook.com/business/help/2302017289821154 Character limit: 9999,# Required | The current availability of the item. | Supported values: in stock; out of stock,# Required | The current condition of the item. | Supported values: new; used,# Required | The price of the item. Format the price as a number followed by the 3-letter currency code (ISO 4217 standards). Use a period (.) as the decimal point; don't use a comma.,# Required | The URL of the specific product page where people can buy the item.,# Required | The URL for the main image of your item. Images must be in a supported format (JPG/GIF/PNG) and at least 500 x 500 pixels.,# Required | The brand name of the item. Character limit: 100.,# Optional | The Google product category for the item. Learn more about product categories: https://www.facebook.com/business/help/526764014610932.,# Optional | The Facebook product category for the item. Learn more about product categories: https://www.facebook.com/business/help/526764014610932.,# Optional | The quantity of this item you have to sell on Facebook and Instagram with checkout. Must be 1 or higher or the item won't be buyable,# Optional | The discounted price of the item if it's on sale. Format the price as a number followed by the 3-letter currency code (ISO 4217 standards). Use a period (.) as the decimal point; don't use a comma. A sale price is required if you want to use an overlay for discounted prices.,# Optional | The time range for your sale period. Includes the date and time/time zone when your sale starts and ends. If this field is blank any items with a sale_price remain on sale until you remove the sale price. Use this format: YYYY-MM-DDT23:59+00:00/YYYY-MM-DDT23:59+00:00. Enter the start date as YYYY-MM-DD. Enter a 'T'. Enter the start time in 24-hour format (00:00 to 23:59) followed by the UTC time zone (-12:00 to +14:00). Enter '/' and then repeat the same format for your end date and time. The example row below uses PST time zone (-08:00).,# Optional | Use this field to create variants of the same item. Enter the same group ID for all variants within a group. Learn more about variants: https://www.facebook.com/business/help/2256580051262113 Character limit: 100.,# Optional | The gender of a person that the item is targeted towards. | Supported values: female; male; unisex,# Optional | The color of the item. Use one or more words to describe the color. Don't use a hex code. Character limit: 200.,# Optional | The size of the item written as a word or abbreviation or number. For example: small; XL; 12. Character limit: 200.,# Optional | The age group that the item is targeted towards. | Supported values: adult; all ages; infant; kids; newborn; teen; toddler,# Optional | The material that the item is made from; such as cotton; denim or leather. Character limit: 200.,# Optional | The pattern or graphic print on the item. Character limit: 100.,"# Optional | Delivery details for the item. Format as Country:Region:Service:Price. Include the 3-letter ISO 4217 currency code in the price. Enter the price as 0.0 to use the free delivery overlay in your ads. Use a semi-colon "";"" or a comma "";"" to separate multiple delivery details for different regions or countries. Only people in the specified region or country will see delivery details for that region or country. You can leave out the region (keep the double ""::"") if your delivery details are the same for an entire country.",# Optional | The shipping weight of the item. Include the unit of measurement (lb/oz/g/kg).,# Optional | The item's Global Trade Item Number (GTIN). Recommended to help classify the item. May appear on the barcode; packaging or book cover. Only provide GTIN if you're sure that it's correct. GTIN types include UPC (12 digits); EAN (13 digits); JAN (8 or 13 digits); ISBN (13 digits) or ITF-14 (14 digits),# Optional | URLs and tags for videos to be used in your ads or in shops. Supports up to 20 different videos. Must be a direct link to download the video file; not a link to a video player; such as YouTube. Tags are optional and; if used; should describe what is in the video. Learn more about video field specifications at: https://www.facebook.com/business/help/120325381656392,# Optional | URLs and tags for videos to be used in your ads or in shops. Supports up to 20 different videos. Must be a direct link to download the video file; not a link to a video player; such as YouTube. Tags are optional and; if used; should describe what is in the video. Learn more about video field specifications at: https://www.facebook.com/business/help/120325381656392,# Optional | Add labels to products to help filter them into product sets. Max characters: 110 per label; 5000 labels per product,# Optional | Add labels to products to help filter them into product sets. Max characters: 110 per label; 5000 labels per product,# Optional | Describe the fashion style of this item.
id,title,description,availability,condition,price,link,image_link,brand,google_product_category,fb_product_category,quantity_to_sell_on_facebook,sale_price,sale_price_effective_date,item_group_id,gender,color,size,age_group,material,pattern,shipping,shipping_weight,gtin,video[0].url,video[0].tag[0],product_tags[0],product_tags[1],style[0]
P001,Classic Cotton T-Shirt,Soft cotton T-shirt with a relaxed fit,in stock,new,19.99,https://example.com/p001,https://example.com/images/p001.jpg,FashionCo,Apparel & Accessories > Clothing > Shirts & Tops,Tops,100,14.99,2025-06-01T00:00:00/2025-06-15T23:59:59,G1001,unisex,white,M,adult,cotton,solid,US::Standard,0.5 lb,1.23457E+12,https://example.com/videos/p001.mp4,Casual,clothing,basics,modern
P002,Slim Fit Jeans,Stylish slim fit jeans made from stretch denim,in stock,new,49.99,https://example.com/p002,https://example.com/images/p002.jpg,DenimKing,Apparel & Accessories > Clothing > Pants,Pants,200,39.99,2025-06-01T00:00:00/2025-06-10T23:59:59,G1002,male,blue,32,adult,denim,solid,US::Standard,1.2 lb,2.23457E+12,https://example.com/videos/p002.mp4,Fashionable,jeans,denim,slim
P003,Canvas Sneakers,Durable canvas sneakers with rubber sole,in stock,new,34.99,https://example.com/p003,https://example.com/images/p003.jpg,SneakerCo,Shoes > Men’s Shoes,Shoes,150,29.99,2025-06-05T00:00:00/2025-06-20T23:59:59,G1003,unisex,black,10,adult,canvas,solid,US::Standard,1.0 lb,3.23457E+12,https://example.com/videos/p003.mp4,Streetwear,sneakers,casual,low-top
P004,Leather Wallet,Genuine leather wallet with coin pouch,in stock,new,24.99,https://example.com/p004,https://example.com/images/p004.jpg,WalletPro,"Apparel & Accessories > Handbags, Wallets & Cases > Wallets",Accessories,75,,None,G1004,male,brown,One Size,adult,leather,solid,US::Standard,0.3 lb,4.23457E+12,https://example.com/videos/p004.mp4,Classic,wallet,leather,vintage
P005,Running Shoes,Lightweight running shoes with mesh upper,in stock,new,59.99,https://example.com/p005,https://example.com/images/p005.jpg,RunFast,Shoes > Athletic Shoes,Athletics,120,49.99,2025-06-01T00:00:00/2025-06-15T23:59:59,G1005,unisex,gray,9,adult,mesh,striped,US::Standard,1.1 lb,5.23457E+12,https://example.com/videos/p005.mp4,Sporty,running,lightweight,athletic
P006,Cotton Summer Dress,Lightweight summer dress with floral print,in stock,new,39.99,https://example.com/p006,https://example.com/images/p006.jpg,SunStyle,Apparel & Accessories > Clothing > Dresses,Dresses,90,29.99,2025-06-01T00:00:00/2025-06-10T23:59:59,G1006,female,yellow,L,adult,cotton,floral,US::Standard,0.6 lb,6.23457E+12,https://example.com/videos/p006.mp4,Summerwear,dress,floral,boho
P007,Yoga Leggings,High-waist leggings for flexibility and support,in stock,new,29.99,https://example.com/p007,https://example.com/images/p007.jpg,FlexFit,Apparel & Accessories > Clothing > Activewear,Activewear,180,24.99,2025-06-03T00:00:00/2025-06-17T23:59:59,G1007,female,black,S,adult,spandex,solid,US::Standard,0.4 lb,7.23457E+12,https://example.com/videos/p007.mp4,Fitness,leggings,workout,active
P008,Fleece Hoodie,Warm fleece hoodie with front pocket,in stock,new,44.99,https://example.com/p008,https://example.com/images/p008.jpg,CozyWear,Apparel & Accessories > Clothing > Outerwear,Hoodies,130,39.99,2025-06-01T00:00:00/2025-06-12T23:59:59,G1008,unisex,navy,L,adult,fleece,solid,US::Standard,1.3 lb,8.23457E+12,https://example.com/videos/p008.mp4,Warmwear,hoodie,fleece,cozy
P009,Kids Rain Boots,Colorful waterproof boots for kids,in stock,new,24.99,https://example.com/p009,https://example.com/images/p009.jpg,PlayFeet,Shoes > Kids’ Shoes,Footwear,100,19.99,2025-06-01T00:00:00/2025-06-10T23:59:59,G1009,unisex,red,13,kids,rubber,polka dot,US::Standard,0.9 lb,9.23457E+12,https://example.com/videos/p009.mp4,Funwear,rainboots,colorful,child
P010,Linen Shirt,Breathable linen shirt for summer comfort,in stock,new,34.99,https://example.com/p010,https://example.com/images/p010.jpg,BreezyLook,Apparel & Accessories > Clothing > Shirts & Tops,Shirts,85,29.99,2025-06-01T00:00:00/2025-06-15T23:59:59,G1010,male,light blue,M,adult,linen,solid,US::Standard,0.7 lb,1.03457E+12,https://example.com/videos/p010.mp4,Naturalwear,linen,breezy,vacation
